,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year
832,Shakib Al Hasan,13,13,50.0,334,11,30.36,6.68,27.27,0,0,2014
833,James Faulkner,13,13,43.0,419,11,38.09,9.74,23.45,0,0,2014
834,Dale Steyn,14,14,56.0,431,11,39.18,7.69,30.54,0,0,2014
835,Umesh Yadav,12,12,45.0,367,11,33.36,8.15,24.54,0,0,2014
836,Karanveer Singh,5,5,20.0,164,11,14.9,8.2,10.9,1,0,2014
837,Imran Tahir,6,6,21.0,171,9,19.0,8.2,13.88,0,0,2014
838,Jaydev Unadkat,9,9,31.0,270,9,30.0,8.66,20.77,0,0,2014
839,Kane Richardson,7,7,27.0,206,9,22.88,7.62,18.0,0,0,2014
840,Ashish Nehra,4,4,15.0,142,8,17.75,9.46,11.25,0,0,2014
841,Shahbaz Nadeem,11,11,38.0,311,8,38.87,8.18,28.5,0,0,2014
842,Ben Hilfenhaus,8,8,28.0,246,8,30.75,8.78,21.0,0,0,2014
843,Parvinder Awana,7,7,23.0,245,7,35.0,10.42,20.14,0,0,2014
844,Amit Mishra,10,10,37.0,340,7,48.57,9.06,32.14,0,0,2014
845,Mohammad Shami,12,12,44.0,369,7,52.71,8.38,37.71,0,0,2014
846,Vinay Kumar,9,9,32.0,281,7,40.14,8.78,27.42,0,0,2014
847,Shane Watson,13,9,21.0,165,7,23.57,7.85,18.0,0,0,2014
848,Shreyas Gopal,4,4,14.0,113,6,18.83,8.07,14.0,0,0,2014
849,Ishwar Pandey,13,12,42.0,318,6,53.0,7.57,42.0,0,0,2014
850,Wayne Parnell,8,8,30.0,223,6,37.16,7.39,30.16,0,0,2014
851,Dhawal Kulkarni,8,8,27.0,221,6,36.83,8.18,27.0,0,0,2014
852,Yuvraj Singh,14,10,22.0,187,5,37.4,8.25,27.2,1,0,2014
853,Zaheer Khan,6,6,22.0,146,5,29.2,6.53,26.8,0,0,2014
854,Jasprit Bumrah,11,11,39.0,301,5,60.2,7.58,47.6,0,0,2014
855,Ashok Dinda,9,9,31.0,270,5,54.0,8.7,37.2,0,0,2014
856,Albie Morkel,7,6,16.0,126,4,31.5,7.87,24.0,0,0,2014
857,Jacques Kallis,8,8,22.0,186,4,46.5,8.45,33.0,0,0,2014
858,Irfan Pathan,10,10,23.0,205,4,51.25,8.66,35.5,0,0,2014
859,Harshal Patel,3,3,11.0,113,4,28.25,10.27,16.5,0,0,2014
860,Dwayne Smith,16,5,10.0,95,4,23.75,9.5,15.0,0,0,2014
861,Corey Anderson,12,9,18.0,184,4,46.0,10.22,27.0,0,0,2014
862,Moises Henriques,4,4,10.0,96,4,24.0,9.6,15.0,0,0,2014
863,Kevon Cooper,5,5,18.0,134,4,33.5,7.44,27.0,0,0,2014
864,Beuran Hendricks,3,3,12.0,126,4,31.5,10.5,18.0,0,0,2014
865,Ankit Sharma,3,2,8.0,43,4,10.75,5.37,12.0,0,0,2014
866,Stuart Binny,13,8,9.0,64,3,21.33,7.11,18.0,0,0,2014
867,Darren Sammy,10,8,14.0,157,3,52.33,11.21,28.0,0,0,2014
868,Shivam Sharma,4,4,16.0,121,3,40.33,7.56,32.0,0,0,2014
869,Ishant Sharma,3,3,11.0,101,3,33.66,9.18,22.0,0,0,2014
870,Abu Nechim,4,4,14.0,113,3,37.66,7.88,28.66,0,0,2014
871,Praveen Kumar,3,3,12.0,78,3,26.0,6.5,24.0,0,0,2014
872,Muttiah Muralitharan,5,5,16.0,124,3,41.33,7.75,32.0,0,0,2014
873,JP Duminy,14,11,33.0,240,3,80.0,7.27,66.0,0,0,2014
874,Krishmar Santokie,2,2,8.0,90,3,30.0,11.25,16.0,0,0,2014
875,Siddarth Kaul,5,5,13.0,126,2,63.0,9.69,39.0,0,0,2014
876,Nathan Coulter-Nile,2,1,4.0,27,2,13.5,6.75,12.0,0,0,2014
877,David Hussey,5,1,3.0,38,2,19.0,13.41,8.5,0,0,2014
878,Samuel Badree,4,4,14.0,97,2,48.5,6.92,42.0,0,0,2014
879,Kieron Pollard,15,12,25.0,262,2,131.0,10.48,75.0,0,0,2014
880,Marchant de Lange,1,1,4.0,32,2,16.0,8.0,12.0,0,0,2014
881,Rahul Tewatia,3,3,9.0,59,2,29.5,6.55,27.0,0,0,2014
882,Rahul Shukla,3,3,9.0,98,2,49.0,10.88,27.0,0,0,2014
883,Ben Cutting,1,1,4.0,31,1,31.0,7.75,24.0,0,0,2014
884,Vikramjeet Malik,1,1,3.0,29,1,29.0,9.66,18.0,0,0,2014
885,Laxmi Ratan Shukla,6,5,9.0,83,1,83.0,8.89,56.0,0,0,2014
886,Suresh Raina,16,8,18.0,134,1,134.0,7.44,108.0,0,0,2014
887,Andre Russell,2,2,5.0,52,1,52.0,10.4,30.0,0,0,2014
888,Murali Kartik,2,2,8.0,91,1,91.0,11.37,48.0,0,0,2014
889,Lendl Simmons,8,1,3.0,34,1,34.0,11.33,18.0,0,0,2014
890,Parveez Rasool,3,3,9.0,83,1,83.0,9.22,54.0,0,0,2014
891,Glenn Maxwell,16,7,11.0,132,1,132.0,12.0,66.0,0,0,2014
892,John Hastings,1,1,3.0,29,1,29.0,9.66,18.0,0,0,2014
893,Ryan ten Doeschate,10,4,5.0,35,1,35.0,7.0,30.0,0,0,2014
894,Rohit Sharma,15,2,3.0,26,1,26.0,8.66,18.0,0,0,2014
895,Pat Cummins,1,1,4.0,29,1,29.0,7.25,24.0,0,0,2014
896,Pawan Suyal,1,1,3.0,35,1,35.0,11.66,18.0,0,0,2014
897,Jimmy Neesham,4,4,9.0,91,1,91.0,10.11,54.0,0,0,2014
898,Ravi Rampaul,2,2,6.0,37,1,37.0,6.16,36.0,0,0,2014
899,Jason Holder,1,1,3.0,35,1,35.0,11.66,18.0,0,0,2014
900,Rahul Sharma,2,2,6.0,65,1,65.0,10.83,36.0,0,0,2014
901,Dwayne Bravo,18,18,62.0,497,32,15.53,7.95,11.71,1,0,2013
902,James Faulkner,16,16,63.0,427,28,15.25,6.75,13.53,0,2,2013
903,Harbhajan Singh,19,19,70.0,456,24,19.0,6.51,17.5,0,0,2013
904,Mitchell Johnson,17,17,64.0,459,24,19.12,7.17,16.0,0,0,2013
905,Vinay Kumar,16,16,60.0,493,23,21.43,8.19,15.69,0,0,2013
906,Sunil Narine,16,16,64.0,350,22,15.9,5.46,17.45,2,0,2013
907,Amit Mishra,17,17,62.0,394,21,18.76,6.35,17.71,1,0,2013
908,Lasith Malinga,17,17,65.0,468,20,23.4,7.16,19.6,0,0,2013
909,Mohit Sharma,15,15,50.0,326,20,16.3,6.43,15.2,0,0,2013
910,Dale Steyn,17,17,68.0,384,19,20.21,5.66,21.42,0,0,2013
911,Kevon Cooper,14,14,54.0,449,19,23.63,8.31,17.05,0,0,2013
912,Thisara Perera,16,16,59.0,478,19,25.15,8.01,18.84,0,0,2013
913,Ashok Dinda,13,13,49.0,465,16,29.06,9.48,18.37,0,0,2013
914,Jacques Kallis,16,15,53.0,394,16,24.62,7.43,19.87,0,0,2013
915,Pragyan Ojha,16,15,52.0,381,16,23.81,7.28,19.62,0,0,2013
916,Umesh Yadav,16,16,58.0,508,16,31.75,8.78,21.68,1,0,2013
917,Azhar Mahmood,11,11,44.0,330,15,22.0,7.52,17.53,0,0,2013
918,Chris Morris,16,16,50.0,401,15,26.73,8.02,20.0,0,0,2013
919,Ishant Sharma,16,16,59.0,466,15,31.06,7.81,23.86,0,0,2013
920,Parvinder Awana,14,14,54.0,412,15,27.46,7.62,21.6,0,0,2013
921,Ravichandran Ashwin,18,18,58.0,390,15,26.0,6.72,23.2,0,0,2013
922,Bhuvneshwar Kumar,16,16,57.0,371,13,28.53,6.5,26.3,0,0,2013
923,Jaydev Unadkat,13,13,49.0,370,13,28.46,7.55,22.61,0,1,2013
924,Ravi Rampaul,10,10,37.0,261,13,20.07,6.92,17.38,0,0,2013
925,Ravindra Jadeja,18,15,43.0,323,13,24.84,7.48,19.92,0,0,2013
926,RP Singh,11,11,40.0,335,13,25.76,8.41,18.38,0,0,2013
927,Shane Watson,16,13,41.0,298,13,22.92,7.15,19.23,0,0,2013
928,Lakshmipathy Balaji,13,13,50.0,387,12,32.25,7.74,25.0,0,0,2013
929,Praveen Kumar,15,15,56.0,373,12,31.08,6.62,28.16,0,0,2013
930,Siddharth Trivedi,17,17,60.0,410,12,34.16,6.85,29.91,0,0,2013
931,Ashish Nehra,10,10,36.0,316,11,28.72,8.77,19.63,0,0,2013
932,Karn Sharma,13,13,35.0,230,11,20.9,6.6,19.0,0,0,2013
933,Piyush Chawla,16,16,58.0,418,11,38.0,7.16,31.81,0,0,2013
934,Rajat Bhatia,15,15,44.0,332,11,30.18,7.57,23.9,0,0,2013
935,Irfan Pathan,15,15,51.0,382,10,38.2,7.44,30.8,0,0,2013
936,Kieron Pollard,18,14,31.0,292,10,29.2,9.41,18.6,0,0,2013
937,Murali Kartik,11,11,39.0,284,9,31.55,7.28,26.0,0,0,2013
938,Rahul Sharma,11,11,41.0,281,9,31.22,6.85,27.33,0,0,2013
939,Sachithra Senanayake,8,8,32.0,209,9,23.22,6.53,21.33,0,0,2013
940,Shahbaz Nadeem,12,12,44.0,259,9,28.77,5.88,29.33,0,0,2013
941,Darren Sammy,10,9,22.0,168,8,21.0,7.52,16.75,1,0,2013
942,Dhawal Kulkarni,6,6,18.0,151,8,18.87,8.08,14.0,0,0,2013
943,Sandeep Sharma,4,4,16.0,119,8,14.87,7.43,12.0,0,0,2013
944,Albie Morkel,8,7,24.0,159,7,22.71,6.62,20.57,0,0,2013
945,Iqbal Abdulla,5,5,19.0,142,7,20.28,7.53,16.14,0,0,2013
946,Manpreet Gony,8,8,28.0,256,7,36.57,9.14,24.0,0,0,2013
947,Mitchell Marsh,9,7,19.0,182,7,26.0,9.41,16.57,0,0,2013
948,Moises Henriques,10,8,21.0,185,7,26.42,8.74,18.14,0,0,2013
949,Morne Morkel,10,10,40.0,335,7,47.85,8.37,34.28,0,0,2013
950,Ajit Chandila,8,8,25.0,156,6,26.0,6.24,25.0,0,0,2013
951,Stuart Binny,17,14,24.0,162,6,27.0,6.75,24.0,0,0,2013
952,Wayne Parnell,4,4,15.0,137,6,22.83,9.23,14.83,0,0,2013
953,Yuvraj Singh,13,10,22.0,152,6,25.33,6.9,22.0,0,0,2013
954,Angelo Mathews,11,10,31.0,240,5,48.0,7.74,37.2,0,0,2013
955,Harmeet Singh Bansal,3,3,11.0,87,5,17.4,7.67,13.6,0,0,2013
956,Johan Botha,6,6,16.0,109,5,21.8,6.54,20.0,0,0,2013
957,Shanthakumaran Sreesanth,7,7,21.0,163,5,32.6,7.52,26.0,0,0,2013
958,Zaheer Khan,2,2,6.0,47,5,9.4,7.83,7.2,1,0,2013
959,Brett Lee,3,3,12.0,86,4,21.5,7.16,18.0,0,0,2013
960,Dirk Nannes,5,5,20.0,158,4,39.5,7.96,29.75,0,0,2013
961,Siddarth Kaul,6,6,22.0,170,4,42.5,7.78,32.75,0,0,2013
962,Abu Nechim,2,2,7.0,45,3,15.0,6.42,14.0,0,0,2013
963,Ali Murtaza,3,3,10.0,94,3,31.33,9.4,20.0,0,0,2013
964,Ashish Reddy,12,5,6.0,70,3,23.33,10.5,13.33,0,0,2013
965,Chris Gayle,16,4,4.0,40,3,13.33,10.0,8.0,0,0,2013
966,Jasprit Bumrah,2,2,7.0,70,3,23.33,10.0,14.0,0,0,2013
967,Munaf Patel,4,4,15.0,137,3,45.66,9.13,30.0,0,0,2013
968,Muttiah Muralitharan,6,6,23.0,177,3,59.0,7.69,46.0,0,0,2013
969,Rahul Shukla,3,3,8.0,79,3,26.33,9.87,16.0,0,0,2013
970,Roelof van der Merwe,3,3,11.0,71,3,23.66,6.45,22.0,0,0,2013
971,Ryan McLaren,2,2,7.0,94,3,31.33,13.42,14.0,0,0,2013
972,Syed Mohammad,4,4,10.0,91,3,30.33,9.1,20.0,0,0,2013
973,Abhishek Nayar,11,3,8.0,59,2,29.5,7.37,24.0,0,0,2013
974,Ajantha Mendis,3,3,12.0,78,2,39.0,6.5,36.0,0,0,2013
975,Anand Rajan,2,2,8.0,42,2,21.0,5.25,24.0,0,0,2013
976,Dwayne Smith,13,3,5.0,59,2,29.5,11.8,15.0,0,0,2013
977,Jason Holder,6,6,20.0,168,2,84.0,8.4,60.0,0,0,2013
978,Kane Richardson,3,3,12.0,101,2,50.5,8.53,35.5,0,0,2013
979,Luke Wright,6,5,10.0,100,2,50.0,10.16,29.5,0,0,2013
980,Rishi Dhawan,6,5,15.0,109,2,54.5,7.26,45.0,0,0,2013
981,Vikramjeet Malik,3,3,10.0,59,2,29.5,5.9,30.0,0,0,2013
982,Aaron Finch,14,3,4.0,49,1,49.0,12.25,24.0,0,0,2013
983,Abhimanyu Mithun,1,1,4.0,37,1,37.0,9.25,24.0,0,0,2013
984,Andrew McDonald,1,1,2.0,17,1,17.0,8.5,12.0,0,0,2013
985,Ankeet Chavan,3,3,9.0,63,1,63.0,7.0,54.0,0,0,2013
986,Ankit Rajpoot,2,2,4.0,35,1,35.0,8.75,24.0,0,0,2013
987,Ben Laughlin,2,2,7.0,71,1,71.0,10.14,42.0,0,0,2013
988,Bhargav Bhatt,2,2,5.0,32,1,32.0,6.4,30.0,0,0,2013
989,Bipul Sharma,1,1,4.0,21,1,21.0,5.25,24.0,0,0,2013
990,Cameron White,13,2,2.0,16,1,16.0,8.0,12.0,0,0,2013
991,Hanuma Vihari,17,5,6.0,38,1,38.0,6.33,36.0,0,0,2013
992,Harmeet Singh,1,1,4.0,34,1,34.0,8.5,24.0,0,0,2013
993,Ishwar Pandey,2,2,4.0,50,1,50.0,12.5,24.0,0,0,2013
994,Jeevan Mendis,3,2,5.0,36,1,36.0,7.2,30.0,0,0,2013
995,Laxmi Ratan Shukla,4,2,3.0,22,1,22.0,7.33,18.0,0,0,2013
996,Marlon Samuels,2,1,4.0,34,1,34.0,8.5,24.0,0,0,2013
997,Mohammad Shami,3,3,9.0,78,1,78.0,8.66,54.0,0,0,2013
998,Nathan Coulter-Nile,1,1,4.0,29,1,29.0,7.25,24.0,0,0,2013
999,Parveez Rasool,2,2,5.0,28,1,28.0,5.6,30.0,0,0,2013
1000,Pawan Suyal,1,1,3.0,21,1,21.0,7.0,18.0,0,0,2013
1001,Pravin Tambe,3,3,11.0,88,1,88.0,8.0,66.0,0,0,2013
1002,Ryan Harris,3,3,12.0,72,1,72.0,6.0,72.0,0,0,2013
1003,Sarabjit Ladda,1,1,2.0,18,1,18.0,9.0,12.0,0,0,2013
1004,Shaun Tait,3,3,10.0,98,1,98.0,9.8,60.0,0,0,2013
1005,Suresh Raina,18,2,2.0,23,1,23.0,11.5,12.0,0,0,2013
1006,Tirumalasetti Suman,7,1,2.0,15,1,15.0,7.5,12.0,0,0,2013
1007,Yusuf Pathan,16,5,9.0,73,1,73.0,8.11,54.0,0,0,2013
1008,Morne Morkel,16,16,63.0,453,25,18.12,7.19,15.12,1,0,2012
1009,Sunil Narine,15,15,59.0,324,24,13.5,5.47,14.79,1,1,2012
1010,Lasith Malinga,14,14,55.0,350,22,15.9,6.3,15.13,1,0,2012
1011,Umesh Yadav,17,17,61.0,453,19,23.84,7.42,19.26,0,0,2012
1012,Vinay Kumar,15,14,56.0,480,19,25.26,8.59,17.63,0,0,2012
1013,Dale Steyn,12,12,46.0,285,18,15.83,6.1,15.55,0,0,2012
1014,Parvinder Awana,12,12,47.0,372,17,21.88,7.91,16.58,1,0,2012
1015,Zaheer Khan,16,15,60.0,453,17,26.64,7.55,21.17,0,0,2012
1016,Kieron Pollard,14,14,44.0,350,16,21.87,7.98,16.43,1,0,2012
1017,Piyush Chawla,16,16,57.0,419,16,26.18,7.35,21.37,0,0,2012
1018,Dwayne Bravo,19,18,57.0,461,15,30.73,7.99,23.06,0,0,2012
1019,Jacques Kallis,17,16,54.0,403,15,26.86,7.46,21.6,0,0,2012
1020,Munaf Patel,12,12,46.0,367,15,24.46,7.86,18.66,2,0,2012
1021,Muttiah Muralitharan,10,10,40.0,260,15,17.33,6.5,16.0,0,0,2012
1022,Azhar Mahmood,11,11,42.0,329,14,23.5,7.71,18.28,0,0,2012
1023,Ben Hilfenhaus,9,9,34.0,233,14,16.64,6.85,14.57,0,0,2012
1024,Ravichandran Ashwin,19,18,66.0,432,14,30.85,6.56,28.21,0,0,2012
1025,Albie Morkel,16,15,49.0,385,13,29.61,7.77,22.84,0,0,2012
1026,Amit Mishra,14,14,47.0,377,13,29.0,8.02,21.69,0,0,2012
1027,Rajat Bhatia,17,16,53.0,389,13,29.92,7.31,24.53,0,0,2012
1028,Siddharth Trivedi,14,14,52.0,380,13,29.23,7.3,24.0,1,0,2012
1029,Ravindra Jadeja,19,14,35.0,273,12,22.75,7.8,17.5,0,1,2012
1030,Shakib Al Hasan,8,8,30.0,195,12,16.25,6.5,15.0,0,0,2012
1031,Ashish Nehra,13,13,48.0,402,11,36.54,8.37,26.18,0,0,2012
1032,Lakshmipathy Balaji,8,8,30.0,162,11,14.72,5.43,16.27,1,0,2012
1033,Amit Singh,9,9,33.0,310,10,31.0,9.44,19.7,0,0,2012
1034,Ashish Reddy,9,8,24.0,205,10,20.5,8.48,14.5,0,0,2012
1035,Brad Hogg,9,9,36.0,253,10,25.3,7.02,21.6,0,0,2012
1036,Kevon Cooper,6,6,24.0,174,10,17.4,7.25,14.4,1,0,2012
1037,RP Singh,11,11,41.0,318,10,31.8,7.75,24.6,0,0,2012
1038,Veer Pratap Singh,9,9,34.0,296,10,29.6,8.7,20.4,0,0,2012
1039,Ashok Dinda,7,7,24.0,169,9,18.77,7.04,16.0,1,0,2012
1040,Harshal Patel,12,11,41.0,340,9,37.77,8.29,27.33,0,0,2012
1041,Johan Botha,11,11,41.0,297,9,33.0,7.24,27.33,0,0,2012
1042,Pragyan Ojha,9,9,30.0,220,9,24.44,7.33,20.0,0,0,2012
1043,Praveen Kumar,16,16,63.0,434,9,48.22,6.88,42.0,0,0,2012
1044,Rahul Sharma,11,11,37.0,300,9,33.33,8.1,24.66,0,0,2012
1045,Shadab Jakati,15,15,41.0,335,9,37.22,8.17,27.33,0,0,2012
1046,Bhuvneshwar Kumar,11,11,39.0,281,8,35.12,7.2,29.25,0,0,2012
1047,Dan Christian,7,7,27.0,233,8,29.12,8.62,20.25,0,0,2012
1048,Doug Bollinger,6,6,18.0,157,8,19.62,8.72,13.5,0,0,2012
1049,Irfan Pathan,17,17,60.0,465,8,58.12,7.75,45.0,0,0,2012
1050,Marlon Samuels,8,8,28.0,216,8,27.0,7.53,21.5,0,0,2012
1051,Ryan Harris,5,5,18.0,130,8,16.25,7.22,13.5,1,0,2012
1052,Shahbaz Nadeem,12,12,45.0,318,8,39.75,7.06,33.75,0,0,2012
1053,Varun Aaron,8,8,31.0,271,8,33.87,8.74,23.25,0,0,2012
1054,Angelo Mathews,9,9,26.0,192,7,27.42,7.38,22.28,0,0,2012
1055,Ankeet Chavan,8,8,27.0,236,7,33.71,8.63,23.42,0,0,2012
1056,Brett Lee,10,10,38.0,299,7,42.71,7.86,32.57,0,0,2012
1057,Dimitri Mascarenhas,4,4,16.0,105,7,15.0,6.56,13.71,0,1,2012
1058,Pankaj Singh,6,6,21.0,170,7,24.28,8.09,18.0,0,0,2012
1059,Pawan Negi,8,6,22.0,152,7,21.71,6.9,18.85,1,0,2012
1060,Dhawal Kulkarni,2,2,8.0,64,6,10.66,8.0,8.0,0,0,2012
1061,Harbhajan Singh,17,16,54.0,384,6,64.0,7.11,54.0,0,0,2012
1062,Harmeet Singh Bansal,7,6,19.0,168,6,28.0,8.68,19.33,0,0,2012
1063,James Franklin,12,9,15.0,121,6,20.16,8.06,15.0,0,0,2012
1064,KP Appanna,7,6,17.0,148,6,24.66,8.7,17.0,1,0,2012
1065,Shane Watson,7,7,23.0,161,6,26.83,7.0,23.0,0,0,2012
1066,Shaun Tait,6,6,23.0,151,6,25.16,6.61,22.83,0,0,2012
1067,Ajit Chandila,4,4,14.0,86,5,17.2,6.14,16.8,1,0,2012
1068,Andrew McDonald,4,3,10.0,61,5,12.2,6.1,12.0,0,0,2012
1069,Daniel Vettori,9,9,35.0,236,5,47.2,6.74,42.0,0,0,2012
1070,Wayne Parnell,6,6,21.0,128,5,25.6,6.09,25.2,0,0,2012
1071,Ankit Sharma,9,9,24.0,165,4,41.25,6.82,36.25,0,0,2012
1072,Iqbal Abdulla,9,8,22.0,144,4,36.0,6.54,33.0,0,0,2012
1073,Murali Kartik,11,11,36.0,266,4,66.5,7.38,54.0,0,0,2012
1074,Nuwan Kulasekara,5,4,14.0,94,4,23.5,6.71,21.0,0,0,2012
1075,Ajit Agarkar,4,4,14.0,134,3,44.66,9.34,28.66,0,0,2012
1076,Alfonso Thomas,4,4,14.0,109,3,36.33,7.78,28.0,0,0,2012
1077,Anand Rajan,4,4,12.0,109,3,36.33,9.21,23.66,0,0,2012
1078,David Hussey,16,6,9.0,63,3,21.0,7.0,18.0,0,0,2012
1079,Doug Bracewell,1,1,4.0,32,3,10.66,8.0,8.0,0,0,2012
1080,James Faulkner,2,2,8.0,72,3,24.0,9.0,16.0,0,0,2012
1081,Manpreet Gony,6,6,24.0,207,3,69.0,8.62,48.0,0,0,2012
1082,Marchant de Lange,3,3,10.0,107,3,35.66,10.7,20.0,0,0,2012
1083,Robin Peterson,5,4,8.0,70,3,23.33,8.75,16.0,0,0,2012
1084,Shikhar Dhawan,15,4,6.0,55,3,18.33,9.16,12.0,0,0,2012
1085,Stuart Binny,8,6,10.0,78,3,26.0,7.8,20.0,0,0,2012
1086,Yo Mahesh,5,4,9.0,81,3,27.0,8.67,18.66,0,0,2012
1087,Yusuf Pathan,17,12,22.0,182,3,60.66,8.27,44.0,0,0,2012
1088,Bhargav Bhatt,5,5,16.0,136,2,68.0,8.24,49.5,0,0,2012
1089,Dwayne Smith,7,6,13.0,95,2,47.5,7.3,39.0,0,0,2012
1090,Juan Theron,2,2,8.0,66,2,33.0,8.25,24.0,0,0,2012
1091,Michael Clarke,6,5,11.0,67,2,33.5,6.09,33.0,0,0,2012
1092,Roelof van der Merwe,3,3,10.0,60,2,30.0,6.0,30.0,0,0,2012
1093,Sourav Ganguly,15,4,10.0,95,2,47.5,9.5,30.0,0,0,2012
1094,Suresh Raina,19,7,14.0,105,2,52.5,7.5,42.0,0,0,2012
1095,Abhishek Jhunjhunwala,5,3,6.0,38,1,38.0,6.33,36.0,0,0,2012
1096,Akshath Reddy,5,1,3.0,32,1,32.0,10.66,18.0,0,0,2012
1097,Andre Russell,4,4,16.0,161,1,161.0,10.06,96.0,0,0,2012
1098,Ashok Menaria,15,3,3.0,23,1,23.0,6.9,20.0,0,0,2012
1099,Brad Hodge,12,2,2.0,21,1,21.0,10.5,12.0,0,0,2012
1100,Clint McKay,2,2,7.0,60,1,60.0,8.57,42.0,0,0,2012
1101,Glenn Maxwell,2,2,3.0,22,1,22.0,7.33,18.0,0,0,2012
1102,Jesse Ryder,11,4,7.0,70,1,70.0,10.0,42.0,0,0,2012
1103,JP Duminy,9,6,12.0,104,1,104.0,8.66,72.0,0,0,2012
1104,Laxmi Ratan Shukla,11,2,2.0,12,1,12.0,6.0,12.0,0,0,2012
1105,Mandeep Singh,16,1,3.0,23,1,23.0,7.66,18.0,0,0,2012
1106,Pradeep Sangwan,1,1,4.0,42,1,42.0,10.5,24.0,0,0,2012
1107,Ryan ten Doeschate,3,1,3.0,24,1,24.0,8.0,18.0,0,0,2012
1108,TP Sudhindra,3,3,11.0,136,1,136.0,11.65,70.0,0,0,2012
1109,Lasith Malinga,16,16,63.0,375,28,13.39,5.95,13.5,0,1,2011
1110,Munaf Patel,15,15,54.0,358,22,16.27,6.58,14.81,0,1,2011
1111,Sreenath Aravind,13,13,46.0,368,21,17.52,8.0,13.14,1,0,2011
1112,Ravichandran Ashwin,16,16,63.0,388,20,19.4,6.15,18.9,0,0,2011
1113,Amit Mishra,14,14,53.0,358,19,18.84,6.71,16.84,1,0,2011
1114,Doug Bollinger,13,13,47.0,329,17,19.35,7.0,16.58,0,0,2011
1115,Iqbal Abdulla,15,15,50.0,305,16,19.06,6.1,18.75,0,0,2011
1116,Ryan Harris,13,13,47.0,382,16,23.87,8.12,17.62,0,0,2011
1117,Rahul Sharma,14,14,50.0,273,16,17.06,5.46,18.75,0,0,2011
1118,Piyush Chawla,12,12,41.0,336,16,21.0,8.12,15.5,1,0,2011
1119,Albie Morkel,15,14,45.0,382,15,25.46,8.48,18.0,0,0,2011
1120,Dale Steyn,12,12,45.0,299,14,21.35,6.57,19.5,0,0,2011
1121,Harbhajan Singh,15,15,53.0,370,14,26.42,6.98,22.71,0,1,2011
1122,Zaheer Khan,15,15,59.0,455,14,32.5,7.71,25.28,0,0,2011
1123,RP Singh,14,14,50.0,345,13,26.53,6.9,23.07,1,0,2011
1124,Shane Warne,13,12,47.0,297,13,22.84,6.31,21.69,0,0,2011
1125,Yusuf Pathan,15,14,39.0,238,13,18.3,6.1,18.0,0,0,2011
1126,Morne Morkel,11,11,43.0,325,13,25.0,7.55,19.84,0,0,2011
1127,Daniel Vettori,13,13,51.0,311,12,25.91,6.01,25.83,0,0,2011
1128,Vinay Kumar,13,13,44.0,335,12,27.91,7.5,22.33,0,0,2011
1129,Dan Christian,14,14,45.0,350,11,31.81,7.66,24.9,0,0,2011
1130,Alfonso Thomas,11,11,38.0,297,11,27.0,7.71,21.0,0,0,2011
1131,Ishant Sharma,12,12,44.0,314,11,28.54,7.13,24.0,0,1,2011
1132,Shakib Al Hasan,7,7,25.0,175,11,15.9,6.86,13.9,0,0,2011
1133,Irfan Pathan,14,13,46.0,344,11,31.27,7.5,25.0,0,0,2011
1134,Shadab Jakati,15,14,44.0,336,10,33.6,7.6,26.5,0,0,2011
1135,Kieron Pollard,16,16,42.0,361,10,36.1,8.49,25.5,0,0,2011
1136,Lakshmipathy Balaji,14,14,44.0,371,10,37.1,8.36,26.6,0,0,2011
1137,Pragyan Ojha,10,10,37.0,267,10,26.7,7.24,22.1,0,0,2011
1138,Praveen Kumar,13,13,46.0,345,10,34.5,7.5,27.6,0,0,2011
1139,Siddharth Trivedi,12,12,35.0,303,10,30.3,8.49,21.4,0,0,2011
1140,Amit Singh,9,9,28.0,215,9,23.88,7.54,19.0,0,0,2011
1141,Bhargav Bhatt,10,8,28.0,229,9,25.44,8.22,18.55,1,0,2011
1142,Wayne Parnell,8,8,29.0,213,9,23.66,7.26,19.55,0,0,2011
1143,Yuvraj Singh,14,13,29.0,192,9,21.33,6.62,19.33,1,0,2011
1144,Chris Gayle,12,12,36.0,244,8,30.5,6.77,27.0,0,0,2011
1145,Shalabh Srivastava,6,6,20.0,186,8,23.25,9.3,15.0,0,0,2011
1146,Ravindra Jadeja,14,14,42.0,305,8,38.12,7.26,31.5,0,0,2011
1147,Rajat Bhatia,14,12,32.0,210,8,26.25,6.56,24.0,0,0,2011
1148,Ajit Agarkar,7,7,27.0,231,8,28.87,8.55,20.25,0,0,2011
1149,Jacques Kallis,15,9,24.0,170,7,24.28,7.08,20.57,0,0,2011
1150,James Hopes,10,9,32.0,272,7,38.85,8.5,27.42,0,0,2011
1151,Johan Botha,10,10,36.0,239,7,34.14,6.63,30.85,0,0,2011
1152,Mitchell Marsh,5,5,14.0,99,7,14.14,6.98,12.14,1,0,2011
1153,Paul Valthaty,14,9,24.0,189,7,27.0,7.82,20.71,1,0,2011
1154,Shanthakumaran Sreesanth,9,9,32.0,206,7,29.42,6.47,27.28,0,0,2011
1155,Brad Hodge,14,4,11.0,77,7,11.0,7.0,9.42,1,0,2011
1156,Jaydev Unadkat,7,6,18.0,150,6,25.0,8.33,18.0,0,0,2011
1157,Suraj Randiv,8,8,29.0,223,6,37.16,7.68,29.0,0,0,2011
