,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year
329,Faf du Plessis,16,16,2,633,95,45.21,458,138.2,0,6,60,23,2021
330,KL Rahul,13,13,3,626,98,62.6,451,138.8,0,6,48,30,2021
331,Shikhar Dhawan,16,16,1,587,92,39.13,471,124.62,0,3,63,16,2021
332,Glenn Maxwell,15,14,2,513,78,42.75,356,144.1,0,6,48,21,2021
333,Sanju Samson,14,14,2,484,119,40.33,354,136.72,1,2,45,17,2021
334,Prithvi Shaw,15,15,0,479,82,31.93,301,159.13,0,4,56,18,2021
335,Shubman Gill,17,17,0,478,57,28.11,402,118.9,0,3,50,12,2021
336,Mayank Agarwal,12,12,1,441,99,40.09,314,140.44,0,4,42,18,2021
337,Rishabh Pant,16,16,4,419,58,34.91,326,128.52,0,3,42,10,2021
338,Devdutt Padikkal,14,14,1,411,101,31.61,328,125.3,1,1,44,14,2021
339,Virat Kohli,15,15,1,405,72,28.92,339,119.46,0,3,43,9,2021
340,Rahul Tripathi,17,16,2,397,74,28.35,283,140.28,0,2,41,11,2021
341,Nitish Rana,17,16,3,383,80,29.46,314,121.97,0,2,34,17,2021
342,Rohit Sharma,13,13,0,381,63,29.3,299,127.42,0,1,33,14,2021
343,Venkatesh Iyer,10,10,1,370,67,41.11,288,128.47,0,4,37,14,2021
344,Moeen Ali,15,15,1,357,58,25.5,260,137.3,0,1,31,19,2021
345,Suryakumar Yadav,14,14,0,317,82,22.64,221,143.43,0,2,40,10,2021
346,AB de Villiers,15,14,4,313,76,31.3,211,148.34,0,2,23,16,2021
347,Quinton de Kock,11,11,1,297,70,29.7,256,116.01,0,2,29,7,2021
348,Manish Pandey,8,8,2,292,69,48.66,236,123.72,0,3,21,10,2021
349,Kane Williamson,10,10,4,266,66,44.33,235,113.19,0,2,29,2,2021
350,Ambati Rayudu,16,13,4,257,72,28.55,170,151.17,0,2,16,17,2021
351,Jos Buttler,7,7,0,254,124,36.28,166,153.01,1,0,27,13,2021
352,Yashasvi Jaiswal,10,10,0,249,50,24.9,168,148.21,0,1,32,10,2021
353,Jonny Bairstow,7,7,1,248,63,41.33,175,141.71,0,2,20,15,2021
354,Kieron Pollard,14,13,5,245,87,30.62,165,148.48,0,1,16,16,2021
355,Shimron Hetmyer,14,13,6,242,53,34.57,144,168.05,0,1,19,12,2021
356,Ishan Kishan,10,10,1,241,84,26.77,180,133.88,0,2,21,10,2021
357,Shivam Dube,9,9,1,230,64,28.75,193,119.17,0,1,18,10,2021
358,Ravindra Jadeja,16,12,9,227,62,75.66,156,145.51,0,1,19,9,2021
359,Dinesh Karthik,17,15,5,223,40,22.3,170,131.17,0,0,22,7,2021
360,David Warner,8,8,0,195,57,24.37,181,107.73,0,2,15,6,2021
361,Chris Gayle,10,10,1,193,46,21.44,154,125.32,0,0,21,8,2021
362,K.S Bharat,8,7,2,191,78,38.2,156,122.43,0,1,10,8,2021
363,Andre Russell,10,9,2,183,54,26.14,120,152.5,0,1,14,14,2021
364,Shreyas Iyer,8,8,3,175,47,35.0,171,102.33,0,0,7,5,2021
365,Deepak Hooda,12,11,1,160,64,16.0,123,130.08,0,1,9,9,2021
366,Suresh Raina,12,11,2,160,54,17.77,128,125.0,0,1,13,9,2021
367,Rahul Tewatia,14,11,1,155,44,15.5,147,105.44,0,0,11,6,2021
368,Shahrukh Khan,11,10,3,153,47,21.85,114,134.21,0,0,9,10,2021
369,Steve Smith,8,7,1,152,39,25.33,135,112.59,0,0,13,2,2021
370,Evin Lewis,5,5,0,151,58,30.2,93,162.36,0,1,18,7,2021
371,Jason Roy,5,5,0,150,60,30.0,121,123.96,0,1,21,1,2021
372,Aiden Markram,6,6,1,146,42,29.2,119,122.68,0,0,12,4,2021
373,Krunal Pandya,13,12,2,143,39,14.3,123,116.26,0,0,10,6,2021
374,Eoin Morgan,17,16,4,133,47,11.08,139,95.68,0,0,8,6,2021
375,Wriddhiman Saha,9,9,0,131,44,14.55,140,93.57,0,0,7,5,2021
376,Hardik Pandya,12,11,2,127,40,14.11,112,113.39,0,0,11,5,2021
377,David Miller,9,8,3,124,62,24.8,113,109.73,0,1,11,3,2021
378,Robin Uthappa,4,4,0,115,63,28.75,84,136.9,0,1,8,5,2021
379,Saurabh Tiwary,5,4,2,115,50,57.5,97,118.55,0,1,10,2,2021
380,MS Dhoni,16,11,4,114,18,16.28,107,106.54,0,0,12,3,2021
381,Abdul Samad,11,10,1,111,28,12.33,87,127.58,0,0,4,8,2021
382,Abhishek Sharma,8,7,1,98,33,16.33,75,130.66,0,0,7,4,2021
383,Mahipal Lomror,4,4,1,94,43,31.33,73,128.76,0,0,3,6,2021
384,Pat Cummins,7,5,2,93,66,31.0,56,166.07,0,1,5,8,2021
385,Riyan Parag,11,10,2,93,25,11.62,83,112.04,0,0,6,4,2021
386,Marcus Stoinis,10,7,3,89,27,22.25,72,123.61,0,0,11,1,2021
387,Jason Holder,8,7,1,85,47,14.16,72,118.05,0,0,2,6,2021
388,Nicholas Pooran,12,11,0,85,32,7.72,76,111.84,0,0,3,5,2021
389,Rashid Khan,14,10,2,83,22,10.37,69,120.28,0,0,9,2,2021
390,Priyam Garg,5,5,0,72,29,14.4,74,97.29,0,0,2,3,2021
391,Rajat Patidar,4,4,0,71,31,17.75,62,114.51,0,0,3,3,2021
392,Lalit Yadav,7,5,3,68,22,34.0,73,93.15,0,0,7,0,2021
393,Chris Morris,11,7,2,67,36,13.4,49,136.73,0,0,2,5,2021
394,Kyle Jamieson,9,7,3,65,16,16.25,55,118.18,0,0,5,3,2021
395,Harpreet Brar,7,5,5,64,25,0.0,58,110.34,0,0,3,2,2021
396,Sunil Narine,14,10,2,62,26,7.75,47,131.91,0,0,3,5,2021
397,Shahbaz Ahmed,11,7,0,59,14,8.42,53,111.32,0,0,4,2,2021
398,Harshal Patel,15,8,4,59,31,14.75,46,128.26,0,0,6,2,2021
399,Vijay Shankar,7,5,0,58,28,11.6,52,111.53,0,0,1,3,2021
400,Sam Curran,9,4,1,56,34,18.66,29,193.1,0,0,5,3,2021
401,Kedar Jadhav,6,5,1,55,19,13.75,52,105.76,0,0,2,2,2021
402,Chris Lynn,1,1,0,49,49,49.0,35,140.0,0,0,4,3,2021
403,Shakib Al Hasan,8,6,1,47,26,9.4,48,97.91,0,0,3,1,2021
404,Dwayne Bravo,11,3,2,47,23,47.0,18,261.11,0,0,3,4,2021
405,Ravichandran Ashwin,13,5,2,44,20,14.66,42,104.76,0,0,2,1,2021
406,Manan Vohra,4,4,0,42,14,10.5,39,107.69,0,0,5,2,2021
407,Liam Livingstone,5,5,0,42,25,8.4,41,102.43,0,0,3,1,2021
408,Jaydev Unadkat,6,3,1,41,24,20.5,29,141.37,0,0,3,2,2021
409,Axar Patel,12,6,1,40,12,8.0,46,86.95,0,0,2,1,2021
410,Mohammad Nabi,3,3,0,34,17,11.33,20,170.0,0,0,3,2,2021
411,Jayant Yadav,5,3,1,34,23,17.0,26,130.76,0,0,2,1,2021
412,Bhuvneshwar Kumar,11,7,6,34,14,34.0,30,113.33,0,0,3,0,2021
413,Chris Jordan,4,2,0,32,30,16.0,21,152.38,0,0,1,3,2021
414,Moises Henriques,5,4,2,31,14,15.5,32,96.87,0,0,0,1,2021
415,Washington Sundar,6,4,0,31,10,7.75,47,65.95,0,0,2,0,2021
416,Dawid Malan,1,1,0,26,26,26.0,26,100.0,0,0,1,1,2021
417,Glenn Phillips,3,3,1,26,14,13.0,33,78.78,0,0,1,2,2021
418,Ripal Patel,2,2,1,25,18,25.0,27,92.59,0,0,3,0,2021
419,Shivam Mavi,9,2,0,25,20,12.5,20,125.0,0,0,2,2,2021
420,Tom Curran,3,2,1,21,21,21.0,17,123.52,0,0,2,0,2021
421,Mohammed Siraj,15,4,3,20,12,20.0,26,76.92,0,0,1,1,2021
422,Prabhsimran Singh,2,2,0,19,12,9.5,23,82.6,0,0,1,1,2021
423,Nathan Ellis,3,2,1,18,12,18.0,16,112.5,0,0,0,1,2021
424,Lockie Ferguson,8,3,3,18,18,0.0,11,163.63,0,0,1,1,2021
425,Anmolpreet Singh,1,1,0,16,16,16.0,14,114.28,0,0,2,1,2021
426,Adam Milne,4,3,1,16,15,8.0,17,94.11,0,0,0,1,2021
427,Chetan Sakariya,14,6,1,16,7,3.2,25,64.0,0,0,2,0,2021
428,Jasprit Bumrah,14,7,5,16,5,8.0,17,94.11,0,0,2,0,2021
429,Mandeep Singh,1,1,0,15,15,15.0,14,107.14,0,0,2,0,2021
430,Chris Woakes,3,1,1,15,15,0.0,11,136.36,0,0,2,0,2021
431,Jhye Richardson,3,2,0,15,15,7.5,24,62.5,0,0,2,0,2021
432,Murugan Ashwin,3,2,0,15,9,7.5,24,62.5,0,0,1,0,2021
433,Virat Singh,3,2,0,15,11,7.5,26,57.69,0,0,1,0,2021
434,Jagadeesha Suchith,2,1,1,14,14,0.0,6,233.33,0,0,2,1,2021
435,Dan Christian,9,7,1,14,9,2.33,24,58.33,0,0,1,0,2021
436,Rahul Chahar,11,5,0,14,8,2.8,15,93.33,0,0,1,0,2021
437,Mohammad Shami,14,4,3,13,9,13.0,17,76.47,0,0,0,0,2021
438,Kagiso Rabada,15,3,2,13,9,13.0,6,216.66,0,0,2,0,2021
439,Yuzvendra Chahal,15,2,2,10,8,0.0,27,37.03,0,0,0,0,2021
440,Ajinkya Rahane,2,1,0,8,8,8.0,8,100.0,0,0,1,0,2021
441,Sandeep Sharma,7,2,1,8,8,8.0,7,114.28,0,0,1,0,2021
442,Siddarth Kaul,8,2,2,8,7,0.0,8,100.0,0,0,1,0,2021
443,Mustafizur Rahman,14,5,5,8,8,0.0,14,57.14,0,0,0,1,2021
444,Sachin Baby,1,1,0,7,7,7.0,17,41.17,0,0,0,0,2021
445,Shreyas Gopal,3,2,1,7,7,7.0,5,140.0,0,0,0,1,2021
446,Daniel Sams,2,2,1,6,3,6.0,6,100.0,0,0,0,0,2021
447,Fabian Allen,4,3,2,6,6,6.0,12,50.0,0,0,0,0,2021
448,Avesh Khan,16,1,1,5,5,0.0,3,166.66,0,0,1,0,2021
449,Shardul Thakur,16,4,2,5,3,2.5,5,100.0,0,0,0,0,2021
450,Harbhajan Singh,3,2,2,4,2,0.0,4,100.0,0,0,0,0,2021
451,Nathan Coulter-Nile,5,2,0,4,3,2.0,5,80.0,0,0,0,0,2021
452,Tim Southee,3,1,0,3,3,3.0,5,60.0,0,0,0,0,2021
453,Tabraiz Shamsi,1,1,1,2,2,0.0,4,50.0,0,0,0,0,2021
454,Tim Seifert,1,1,0,2,2,2.0,4,50.0,0,0,0,0,2021
455,Navdeep Saini,2,1,0,2,2,2.0,4,50.0,0,0,0,0,2021
456,Kartik Tyagi,4,2,1,2,1,2.0,4,50.0,0,0,0,0,2021
457,George Garton,5,3,2,2,2,2.0,4,50.0,0,0,0,0,2021
458,Arshdeep Singh,12,2,2,2,1,0.0,3,66.66,0,0,0,0,2021
459,Varun Chakaravarthy,17,3,2,2,2,2.0,4,50.0,0,0,0,0,2021
460,Mujeeb Ur Rahman,1,1,1,1,1,0.0,1,100.0,0,0,0,0,2021
461,Tim David,1,1,0,1,1,1.0,3,33.33,0,0,0,0,2021
462,Wanindu Hasaranga,2,2,1,1,1,1.0,2,50.0,0,0,0,0,2021
463,Khaleel Ahmed,7,1,0,1,1,1.0,2,50.0,0,0,0,0,2021
464,Ravi Bishnoi,9,1,0,1,1,1.0,4,25.0,0,0,0,0,2021
465,Trent Boult,14,4,4,1,1,0.0,4,25.0,0,0,0,0,2021
466,Deepak Chahar,15,2,2,1,1,0.0,1,100.0,0,0,0,0,2021
467,Ben Stokes,1,1,0,0,0,0.0,3,0.0,0,0,0,0,2021
468,Kamlesh Nagarkoti,1,1,0,0,0,0.0,2,0.0,0,0,0,0,2021
469,Kuldip Yadav,1,1,1,0,0,0.0,4,0.0,0,0,0,0,2021
470,Piyush Chawla,1,1,0,0,0,0.0,2,0.0,0,0,0,0,2021
471,Shahbaz Nadeem,1,1,0,0,0,0.0,1,0.0,0,0,0,0,2021
472,Anuj Rawat,2,1,0,0,0,0.0,1,0.0,0,0,0,0,2021
473,Marco Jansen,2,2,0,0,0,0.0,3,0.0,0,0,0,0,2021
474,Sarfaraz Khan,2,2,0,0,0,0.0,4,0.0,0,0,0,0,2021
475,Jimmy Neesham,3,2,0,0,0,0.0,2,0.0,0,0,0,0,2021
476,Prasidh Krishna,10,2,1,0,0,0.0,1,0.0,0,0,0,0,2021
477,KL Rahul,14,14,2,670,132,55.83,518,129.34,1,5,58,23,2020
478,Shikhar Dhawan,17,17,3,618,106,44.14,427,144.73,2,4,67,12,2020
479,David Warner,16,16,2,548,85,39.14,407,134.64,0,4,52,14,2020
480,Shreyas Iyer,17,17,2,519,88,34.6,421,123.27,0,3,40,16,2020
481,Ishan Kishan,14,13,4,516,99,57.33,354,145.76,0,4,36,30,2020
482,Quinton de Kock,16,16,2,503,78,35.92,358,140.5,0,4,46,22,2020
483,Suryakumar Yadav,16,15,3,480,79,40.0,331,145.01,0,4,61,11,2020
484,Devdutt Padikkal,15,15,0,473,74,31.53,379,124.8,0,5,51,8,2020
485,Virat Kohli,15,15,4,466,90,42.36,384,121.35,0,3,23,11,2020
486,AB de Villiers,15,14,4,454,73,45.4,286,158.74,0,5,33,23,2020
487,Faf du Plessis,13,13,2,449,87,40.81,319,140.75,0,4,42,14,2020
488,Shubman Gill,14,14,1,440,70,33.84,373,117.96,0,3,44,9,2020
489,Manish Pandey,16,15,2,425,83,32.69,333,127.62,0,3,35,18,2020
490,Mayank Agarwal,11,11,0,424,106,38.54,271,156.45,1,2,44,15,2020
491,Eoin Morgan,14,14,4,418,68,41.8,302,138.41,0,1,32,24,2020
492,Sanju Samson,14,14,1,375,85,28.84,236,158.89,0,3,21,26,2020
493,Ambati Rayudu,12,11,2,359,71,39.88,282,127.3,0,1,30,12,2020
494,Nicholas Pooran,14,14,4,353,77,35.3,208,169.71,0,2,23,25,2020
495,Nitish Rana,14,14,0,352,87,25.14,254,138.58,0,3,43,12,2020
496,Marcus Stoinis,17,17,3,352,65,25.14,237,148.52,0,3,31,16,2020
497,Jonny Bairstow,11,11,0,345,97,31.36,272,126.83,0,3,31,13,2020
498,Rishabh Pant,14,14,3,343,56,31.18,301,113.95,0,1,31,9,2020
499,Rohit Sharma,12,12,0,332,80,27.66,260,127.69,0,3,27,19,2020
500,Jos Buttler,13,12,2,328,70,32.8,227,144.49,0,2,27,16,2020
501,Kane Williamson,12,11,4,317,67,45.28,237,133.75,0,3,26,10,2020
502,Steve Smith,14,14,2,311,69,25.91,237,131.22,0,3,32,9,2020
503,Shane Watson,11,11,1,299,83,29.9,247,121.05,0,2,33,13,2020
504,Chris Gayle,7,7,0,288,99,41.14,210,137.14,0,3,15,23,2020
505,Ben Stokes,8,8,1,285,107,40.71,200,142.5,1,1,36,7,2020
506,Hardik Pandya,14,13,5,281,60,35.12,157,178.98,0,1,14,25,2020
507,Aaron Finch,12,12,0,268,52,22.33,241,111.2,0,1,28,8,2020
508,Kieron Pollard,16,12,7,268,60,53.6,140,191.42,0,1,15,22,2020
509,Rahul Tewatia,14,11,5,255,53,42.5,183,139.34,0,1,13,17,2020
510,Ravindra Jadeja,14,11,6,232,50,46.4,135,171.85,0,1,22,11,2020
511,Rahul Tripathi,11,11,1,230,81,23.0,181,127.07,0,1,21,10,2020
512,Prithvi Shaw,13,13,0,228,66,17.53,167,136.52,0,2,27,8,2020
513,Wriddhiman Saha,4,4,1,214,87,71.33,153,139.86,0,2,24,5,2020
514,Ruturaj Gaikwad,6,6,2,204,72,51.0,169,120.71,0,3,16,6,2020
515,MS Dhoni,14,12,4,200,47,25.0,172,116.27,0,0,16,7,2020
516,Robin Uthappa,12,12,0,196,41,16.33,164,119.51,0,0,19,7,2020
517,Sam Curran,14,11,3,186,52,23.25,141,131.91,0,1,12,12,2020
518,Shimron Hetmyer,12,11,3,185,45,23.12,125,148.0,0,0,11,12,2020
519,Dinesh Karthik,14,14,2,169,58,14.08,134,126.11,0,1,20,4,2020
520,Pat Cummins,14,11,4,146,53,20.85,114,128.07,0,1,9,8,2020
521,Priyam Garg,14,10,1,133,51,14.77,111,119.81,0,1,9,4,2020
522,Mandeep Singh,7,7,1,130,66,21.66,109,119.26,0,1,10,4,2020
523,Shivam Dube,11,9,2,129,27,18.42,105,122.85,0,0,5,9,2020
524,Sunil Narine,10,9,0,121,64,13.44,85,142.35,0,1,10,8,2020
525,Andre Russell,10,9,0,117,25,13.0,81,144.44,0,0,9,9,2020
526,Axar Patel,15,9,1,117,42,14.62,85,137.64,0,0,6,8,2020
527,Ajinkya Rahane,9,8,0,113,60,14.12,107,105.6,0,1,12,2,2020
528,Jofra Archer,14,10,4,113,27,18.83,63,179.36,0,0,5,10,2020
529,Abdul Samad,12,8,3,111,33,22.2,65,170.76,0,0,8,6,2020
530,Washington Sundar,15,9,3,111,30,18.5,95,116.84,0,0,10,2,2020
531,Krunal Pandya,16,12,6,109,34,18.16,92,118.47,0,0,9,5,2020
532,Glenn Maxwell,13,11,4,108,32,15.42,106,101.88,0,0,9,0,2020
533,Saurabh Tiwary,7,5,0,103,42,20.6,80,128.75,0,0,8,3,2020
534,Deepak Hooda,7,5,4,101,62,101.0,71,142.25,0,1,5,5,2020
535,Vijay Shankar,7,5,1,97,52,24.25,96,101.04,0,1,10,1,2020
536,Riyan Parag,12,8,1,86,42,12.28,77,111.68,0,0,6,3,2020
537,Tom Curran,5,4,3,83,54,83.0,62,133.87,0,1,5,3,2020
538,Josh Philippe,5,5,1,78,33,19.5,77,101.29,0,0,9,1,2020
539,Abhishek Sharma,8,7,2,71,31,14.2,56,126.78,0,0,6,3,2020
540,Gurkeerat Mann Singh,8,5,5,71,21,0.0,80,88.75,0,0,8,0,2020
541,Jason Holder,7,4,2,66,26,33.0,53,124.52,0,0,5,3,2020
542,Kedar Jadhav,8,5,2,62,26,20.66,66,93.93,0,0,7,0,2020
543,Mahipal Lomror,3,3,0,59,47,19.66,54,109.25,0,0,2,3,2020
544,Kagiso Rabada,17,8,4,56,15,14.0,49,114.28,0,0,4,2,2020
545,Lockie Ferguson,5,2,2,43,24,0.0,29,148.27,0,0,4,1,2020
546,Krishnappa Gowtham,2,2,1,42,22,42.0,27,155.55,0,0,3,2,2020
547,Yashasvi Jaiswal,3,3,0,40,34,13.33,44,90.9,0,0,2,2,2020
548,Shreyas Gopal,14,5,1,37,23,9.25,39,94.87,0,0,3,0,2020
549,Ravichandran Ashwin,15,6,3,37,14,12.33,34,108.82,0,0,3,1,2020
550,Rashid Khan,16,7,3,35,14,8.75,30,116.66,0,0,3,2,2020
551,Chris Morris,9,5,1,34,25,8.5,21,161.9,0,0,2,3,2020
552,Narayan Jagadeesan,5,2,0,33,33,16.5,29,113.79,0,0,4,0,2020
553,Sarfaraz Khan,5,3,1,33,14,16.5,29,113.79,0,0,5,0,2020
554,Alex Carey,3,3,1,32,14,16.0,29,110.34,0,0,0,1,2020
555,Murali Vijay,3,3,0,32,21,10.66,43,74.41,0,0,4,0,2020
556,Chris Jordan,9,5,2,29,13,9.66,31,93.54,0,0,2,0,2020
557,Navdeep Saini,13,3,2,27,12,27.0,27,100.0,0,0,3,0,2020
558,Nathan Coulter-Nile,7,2,1,25,24,25.0,15,166.66,0,0,4,0,2020
559,Kamlesh Nagarkoti,10,6,3,22,8,7.33,31,70.96,0,0,1,0,2020
560,Harshal Patel,5,2,0,21,16,10.5,24,87.5,0,0,2,0,2020
561,Tushar Deshpande,5,2,1,21,20,21.0,12,175.0,0,0,2,1,2020
562,Jimmy Neesham,5,3,1,19,10,9.5,18,105.55,0,0,0,1,2020
563,Tom Banton,2,2,0,18,10,9.0,20,90.0,0,0,1,1,2020
564,Mohammed Siraj,9,3,2,17,10,17.0,14,121.42,0,0,2,0,2020
565,Karun Nair,4,3,1,16,15,8.0,14,114.28,0,0,2,0,2020
566,Prabhsimran Singh,2,2,0,15,11,7.5,15,100.0,0,0,2,0,2020
567,Isuru Udana,10,4,1,15,10,5.0,11,136.36,0,0,1,1,2020
568,James Pattinson,10,2,1,15,11,15.0,13,115.38,0,0,2,0,2020
569,Imran Tahir,3,1,1,13,13,0.0,10,130.0,0,0,2,0,2020
570,Kuldeep Yadav,5,2,1,13,12,13.0,21,61.9,0,0,1,0,2020
571,Moeen Ali,3,3,0,12,11,4.0,16,75.0,0,0,1,0,2020
572,Shardul Thakur,9,2,1,12,11,12.0,21,57.14,0,0,0,0,2020
573,Sandeep Sharma,13,5,3,12,9,6.0,15,80.0,0,0,1,0,2020
574,Mohammad Nabi,1,1,1,11,11,0.0,8,137.5,0,0,2,0,2020
575,Rinku Singh,1,1,0,11,11,11.0,11,100.0,0,0,1,0,2020
576,Shivam Mavi,8,3,1,10,9,5.0,14,71.42,0,0,1,0,2020
577,Varun Chakaravarthy,13,3,1,10,7,5.0,15,66.66,0,0,0,0,2020
578,Ankit Rajpoot,6,2,1,9,7,9.0,10,90.0,0,0,0,1,2020
579,Jaydev Unadkat,7,1,0,9,9,9.0,13,69.23,0,0,0,0,2020
580,Pravin Dubey,3,1,1,7,7,0.0,13,53.84,0,0,0,0,2020
581,Dwayne Bravo,6,2,0,7,7,3.5,6,116.66,0,0,0,0,2020
582,Shahbaz Nadeem,7,2,1,7,5,7.0,8,87.5,0,0,1,0,2020
583,Deepak Chahar,14,3,2,7,5,7.0,12,58.33,0,0,0,0,2020
584,Ravi Bishnoi,14,3,2,7,6,7.0,12,58.33,0,0,1,0,2020
585,Anrich Nortje,16,5,4,7,3,7.0,6,116.66,0,0,0,0,2020
586,Andrew Tye,1,1,0,6,6,6.0,6,100.0,0,0,0,1,2020
587,Jasprit Bumrah,15,1,1,5,5,0.0,3,166.66,0,0,0,0,2020
588,Murugan Ashwin,9,1,0,4,4,4.0,4,100.0,0,0,0,0,2020
589,Kartik Tyagi,10,3,2,4,2,4.0,6,66.66,0,0,0,0,2020
590,Dhawal Kulkarni,1,1,1,3,3,0.0,2,150.0,0,0,0,0,2020
591,T Natarajan,16,3,3,3,3,0.0,5,60.0,0,0,0,0,2020
592,Prasidh Krishna,6,2,2,2,2,0.0,4,50.0,0,0,0,0,2020
593,Mohammad Shami,14,3,2,2,2,2.0,3,66.66,0,0,0,0,2020
594,Rahul Chahar,15,1,1,2,2,0.0,4,50.0,0,0,0,0,2020
595,Nikhil Naik,1,1,0,1,1,1.0,3,33.33,0,0,0,0,2020
596,Mujeeb Ur Rahman,2,1,0,1,1,1.0,3,33.33,0,0,0,0,2020
597,Shahbaz Ahmed,2,1,1,1,1,0.0,1,100.0,0,0,0,0,2020
598,Dale Steyn,3,1,1,1,1,0.0,2,50.0,0,0,0,0,2020
599,Varun Aaron,3,2,1,1,1,1.0,10,10.0,0,0,0,0,2020
600,Yuzvendra Chahal,15,2,1,1,1,1.0,3,33.33,0,0,0,0,2020
601,Mitchell Marsh,1,1,0,0,0,0.0,1,0.0,0,0,0,0,2020
602,Shreevats Goswami,2,2,0,0,0,0.0,4,0.0,0,0,0,0,2020
603,Umesh Yadav,2,1,0,0,0,0.0,2,0.0,0,0,0,0,2020
604,Daniel Sams,3,1,0,0,0,0.0,2,0.0,0,0,0,0,2020
605,Bhuvneshwar Kumar,4,1,0,0,0,0.0,2,0.0,0,0,0,0,2020
606,Sheldon Cottrell,6,1,0,0,0,0.0,2,0.0,0,0,0,0,2020
607,Khaleel Ahmed,7,1,0,0,0,0.0,2,0.0,0,0,0,0,2020
608,Arshdeep Singh,8,1,0,0,0,0.0,3,0.0,0,0,0,0,2020
609,Trent Boult,15,1,0,0,0,0.0,1,0.0,0,0,0,0,2020
610,David Warner,12,12,2,692,100,69.2,481,143.86,1,8,57,21,2019
611,KL Rahul,14,14,3,593,100,53.9,438,135.38,1,6,49,25,2019
612,Quinton de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,2019
613,Shikhar Dhawan,16,16,1,521,97,34.73,384,135.67,0,5,64,11,2019
614,Andre Russell,14,13,4,510,80,56.66,249,204.81,0,4,31,52,2019
615,Chris Gayle,13,13,1,490,99,40.83,319,153.6,0,4,45,34,2019
616,Rishabh Pant,16,16,3,488,78,37.53,300,162.66,0,3,37,27,2019
617,Virat Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,2019
618,Shreyas Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,2019
619,Jonny Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,2019
620,AB de Villiers,13,13,3,442,82,44.2,287,154.0,0,5,31,26,2019
621,Suryakumar Yadav,16,15,2,424,71,32.61,324,130.86,0,2,45,10,2019
622,MS Dhoni,15,12,7,416,84,83.2,309,134.62,0,3,22,23,2019
623,Chris Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,2019
624,Rohit Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,2019
625,Hardik Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,2019
626,Shane Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,2019
627,Faf du Plessis,12,12,1,396,96,36.0,321,123.36,0,3,36,15,2019
628,Ajinkya Rahane,14,13,1,393,105,32.75,285,137.89,1,1,45,9,2019
629,Suresh Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,2019
630,Parthiv Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,2019
631,Prithvi Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,2019
632,Manish Pandey,12,11,3,344,83,43.0,263,130.79,0,3,34,6,2019
633,Nitish Rana,14,11,1,344,85,34.4,235,146.38,0,3,27,21,2019
634,Sanju Samson,12,12,2,342,102,34.2,230,148.69,1,0,28,13,2019
635,Mayank Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,2019
636,Steve Smith,12,10,2,319,73,39.87,275,116.0,0,3,30,4,2019
637,Jos Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,2019
638,Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,2019
639,Robin Uthappa,12,11,2,282,67,31.33,245,115.1,0,1,28,10,2019
640,Ambati Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,2019
641,Kieron Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,2019
642,Dinesh Karthik,14,13,5,253,97,31.62,173,146.24,0,2,22,14,2019
643,Vijay Shankar,15,14,2,244,40,20.33,193,126.42,0,0,11,12,2019
644,Moeen Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,2019
645,David Miller,10,10,2,213,59,26.62,164,129.87,0,1,19,7,2019
646,Marcus Stoinis,10,10,6,211,46,52.75,156,135.25,0,0,14,10,2019
647,Colin Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,2019
648,Krunal Pandya,16,15,4,183,42,16.63,150,122.0,0,0,18,5,2019
649,Sarfaraz Khan,8,5,1,180,67,45.0,143,125.87,0,1,19,4,2019
650,Nicholas Pooran,7,6,0,168,48,28.0,107,157.0,0,0,10,14,2019
651,Mandeep Singh,13,12,8,165,33,41.25,120,137.5,0,0,10,4,2019
652,Kedar Jadhav,14,12,3,162,58,18.0,169,95.85,0,1,19,3,2019
653,Riyan Parag,7,5,0,160,50,32.0,126,126.98,0,1,17,5,2019
654,Kane Williamson,9,9,2,156,70,22.28,130,120.0,0,1,12,5,2019
655,Sunil Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,2019
656,Rahul Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,2019
657,Ben Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,2019
658,Mohammad Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,2019
